BENZOL WASHER INLET GAS TEMP,BENZOL WASHER  INLET OIL TEMP,RICH OIL FLOW(M3/hr),DISTILLATION COLUMN MIDDLE TEMP,STEAM FLOW TO REGENERATOR (T/hr),STEAM TEMP TO REGENERTOR ,DISTILLATION COLUMN TOP TEMP,DISTILLATION COLUMN BOTTOM TEMP,PRODUCTION (TON),PRODUCT TEMP,PIPEHEATER MIDDLE TEMP,STEAM INLET TEMP TO PIPEHEATER
30.75,31.72,62.03,95.38,186.3,40.42,363.5,0,0,0,0,-50.38
30.28,32.67,62.18,95.44,186.92,41.35,358.16,0,0,0,0,-48.22
30.12,31.52,62.08,95.33,187.48,41.71,335.38,0,0,0,0,-50.37
31.04,31.86,62.23,95.28,186.24,41.61,334.89,0,0,0,0,-51.12
30.5,31.28,62.13,95.31,183.77,41.63,352.58,0,0,0,0,-51.18
31.29,31.7,62.21,95.17,183.76,41.47,353.11,0,0,0,0,-51.12
31.72,31.01,62,95.73,185.1,41.38,355.47,0,0,0,0,-50.83
31.68,31.92,61.99,95.93,186.3,41.23,353.63,0,0,0,0,-50.74
31.01,31.7,62.01,95.56,184.17,40.21,353.8,0,0,0,0,-49.42
31.11,32.07,62.12,95.15,182.27,40.17,350.9,0,0,0,0,-49.29
32.37,32.07,62.24,95.6,184.36,40.44,344.78,0,0,0,0,-49.5
30.7,87.43,116.17,95.41,77.67,70.61,74.58,52.24,50.11,50.11,122.69,108.08
89,31.97,61.69,95.59,183.38,40.24,340,0,0,0,18,-49.36
0,34.66,24.07,3343.08,131.3,12.95,183.99,0,0,0,0,-23.35
0,33.29,60.17,97.8,154.58,35.32,320.51,0,0,0,0,-52.47
0,32.45,61.85,62.15,180.7,39.7,327.25,0,0,0,0,-51.1
0,31.92,62.02,92.5,179.57,39.68,328.12,0,0,0,0,-52.78
0,31.92,62.52,95.63,182.82,39.72,328.18,0,0,0,0,-52.01
0,33.32,36.51,96.01,137.88,18.98,206.98,0,0,0,0,-41.28
0,32.54,61.9,96.92,180.03,39.56,333.01,0,0,0,0,-53.71
0,32.47,62.17,69.34,183.7,40.13,334.4,0,0,0,0,-52.71
0,32.79,62.3,96.12,183.89,39.43,338.4,0,0,0,0,-54.2
0,31.72,62.23,95.12,183.54,39.26,339.08,0,0,0,0,-55
0,31.87,62.22,94.69,184.61,39.56,340.12,0,0,0,0,-54.74
0,31.42,62.43,94.69,184.65,39.1,341.57,0,0,0,0,-53.49
0,31.84,62.31,95.04,184.77,40.25,336.76,0,0,0,0,-54.64
0,33.23,62.19,94.57,185.31,40.05,335.24,0,0,0,0,-45.11
0,32.94,61.2,95.03,185.53,39.38,336.5,0,0,0,0,-50.97
0,32.85,62.81,95.69,186.39,39.2,340.8,0,0,0,0,-51.38
0,32.68,62.28,95.4,178.29,40.26,341.66,0,0,0,0,-51.26
0,33.85,62.07,95.46,179.9,39.88,334.73,0,0,0,0,-53.72
0,32.84,61.83,95.33,179.61,39.42,333.13,0,0,0,0,-52.88
0,37.75,62.04,95.89,182.17,39.07,334.13,0,0,0,0,-51.03
0,36.72,62.08,95.84,182.31,39.12,335.13,0,0,0,0,53.57
0,37.27,62.13,95.56,183.51,39.38,336.13,0,0,0,0,-51.71
0,32.07,62.26,95.83,182.5,39.77,334.45,0,0,0,0,-52.17
0,30.8,62.11,95.89,181.56,39.41,331.09,0,0,0,0,-56.96
0,30.05,61.82,95.84,178.41,39.12,328.25,0,0,0,0,-68.88
0,34.01,62.16,91.97,181.12,39.11,330.76,0,0,0,0,-57.05
0,31.42,62.18,92.23,182.42,39.19,331.39,0,0,0,0,-54.21
0,37.26,62.13,93.86,183.34,39.72,332.72,0,0,0,0,-50.61
0,31.26,62.23,94.29,182.58,39.38,331.62,0,0,0,0,-51.64
0,30.97,62.02,95.7,180.2,40.28,333.48,0,0,0,0,-51.55
0,87.98,115.21,95.57,78.67,72.02,74.56,53,50.99,50.99,122.21,107.96
86.46,31.73,61.89,95.93,183.19,39.65,340.37,0,0,0,0,-51.84
0,33.4,61.83,96.47,182.52,40.6,344.65,0,0,0,0,-52.84
0,32.95,59.42,95.24,178.52,36.65,329.66,0,0,0,0,-54.96
0,32.21,62.1,73.75,182.99,38.7,349,0,0,0,0,-53.63
0,31.94,61.77,94.37,183.01,38.64,347,0,0,0,0,-52.75
0,32.53,62.05,95.34,184,38.95,350.22,0,0,0,0,-51.13
0,36.59,58.47,95.46,172,30.16,309.29,0,0,0,0,-46.25
0,32.18,62.18,95.33,181.94,39.35,330.29,0,0,0,0,-49.68
0,32.44,62.02,95.29,183.91,40.33,332.88,0,0,0,0,-49.6
0,32.15,62.77,94.87,185.08,40.45,339.07,0,0,0,0,-48.79
0,32.3,62.62,94.31,183.53,40.35,333.8,0,0,0,0,-51.95
0,32.73,62.5,94.52,182.17,40.25,339.1,0,0,0,0,-50.43
0,32.44,61.66,94.8,182.31,40.27,338.88,0,0,0,0,-51.45
0,32.79,62.13,95.05,182.27,39.8,339.42,0,0,0,0,-50.92
0,33.31,62.28,94.77,182.49,39.74,337.82,0,0,0,0,-48.33
0,32.94,62.31,94.97,183.74,39.92,338.42,0,0,0,0,-50.21
0,31.72,62.16,94.73,183.46,39.56,337.88,0,0,0,0,-47.5
0,31.64,62.03,94.81,183.77,39.45,337.44,0,0,0,0,-48.23
0,31.53,61.73,95.49,182.86,39.18,341.19,0,0,0,0,-48.7
0,31.8,62.12,95.26,184.87,39.42,342.19,0,0,0,0,-48.45
0,31.76,62.43,95.44,184.53,39.45,340.39,0,0,0,0,-47.43
0,31.52,62.21,95.25,184.19,39.47,337,0,0,0,0,-47.93
0,32.23,62.12,57.45,184.87,40.15,337.4,0,0,0,0,-49.56
0,32.15,62.17,59.53,183.75,40.17,335.41,0,0,0,0,-48.6
0,34.19,62.29,95,180.15,39.83,334.2,0,0,0,0,-49.71
0,34.17,62.29,95.39,180.39,39.51,334.58,0,0,0,0,-49.78
0,31.92,62.33,96.2,181.44,39.32,337.43,0,0,0,0,-48.63
0,34.04,62.29,95.63,181.53,40.22,333.1,0,0,0,0,-48.85
0,33.8,62,95.5,181.4,39.88,332.29,0,0,0,0,-46.72
0,33.29,62.1,95.6,182.52,39.8,336.87,0,0,0,0,-49.11
0,31.37,61.77,95.8,182.39,39.66,337.42,0,0,0,0,-47.35
0,32.64,61.94,92.05,182.44,39.32,337.25,0,0,0,0,-49.72
0,0,0,95.12,0,0,0,0,0,0,0,0
0,33.05,61.08,95.2,180.89,37.62,338.6,0,0,0,0,-51.91
0,32.54,62.27,94.9,182.96,40.07,336.41,0,0,0,0,-50.14
0,31.84,62.14,95.1,183.92,39.49,339.22,0,0,0,0,-48.35
0,93.52,107.99,95.1,182.01,39.86,335.16,0,0,0,102.72,88.14
87.7,0,61.67,95.4,2.37,0,93.891,171.66,28.22,32.71,413.74,141.1
0,0,61.93,95.42,2.39,0,94,171.89,28.22,31.73,410.42,142.79
0,0,62.25,94.93,2.4,0,93.97,171,29.01,32.48,409.21,151.32
0,0,62.11,95.55,2.41,0,93.98,171.14,29.01,31.78,413.35,151.23
0,0,62.05,95.25,2.4,0,93.96,170.7,28.66,32.02,412.85,151.29
0,0,62.05,95.46,2.4,0,93.94,168.25,29.36,31.13,413.83,149.2
0,0,61.94,95.37,2.39,0,93.96,169.37,28.84,31.39,412.17,148.08
0,0,62.11,95.31,2.39,0,93.93,170.7,27.85,32.36,408.28,0
0,0,62.04,86.53,2.41,0,93.93,170.99,28.12,32.1,408.3,150.23
0,0,62.02,95.85,2.4,0,93.96,169.6,28.13,32.84,405.52,151.33
0,0,62.25,95.77,2.39,0,94.12,169.01,26.35,32.44,405.97,149.58
0,0,62.13,95.23,2.39,0,93.88,170.23,28.13,31.44,409.2,144.32
0,0,61.18,95.04,2.4,0,94.16,151.45,27.25,29.5,416.94,141.7
0,0,61.95,97.35,2.35,0,94.57,166.61,21.4,32.04,417.55,141.59
0,0,61.67,95.58,2.36,0,94.66,156.22,25.03,32.11,403.29,149.91
0,0,62.3,96.4,2.35,0,93.49,169.34,22.12,32.94,415.34,146.56
0,0,62.37,96.9,2.32,0,94.09,170.28,23.88,32.42,411.82,145.58
0,0,62.81,92.44,2.4,0,93.62,170.24,27.59,33.62,407.9,147.79
0,0,62.39,92.48,2.38,0,93.81,170.6,28.31,32.47,413.26,147.79
0,0,62.23,92.66,2.37,0,93.92,170.34,27.69,32.89,412.31,148.32
0,0,59.7,92.81,1.97,0,88.02,156.1,19.02,30.7,394.7,143.12
0,0,61.7,94.15,2.38,0,93.64,170.9,28.14,32.64,410.66,151.2
0,0,62.43,94.69,2.44,0,94.26,172,26.28,32.49,409.4,149.3
0,0,62.5,93.23,2.43,0,94.21,172.37,26.09,33.03,410.57,149.04
0,0,62.37,94.19,2.44,0,94.24,172.41,26.8,32.14,411.22,151.04
0,0,62.1,94.13,2.37,0,94.19,169.13,26.9,32.69,416.42,149.6
0,0,62.12,94.54,2.4,0,94.18,171.36,27.42,31.23,415.07,148.91
0,0,62.35,87.92,2.41,0,94.27,171.43,26.18,32.09,415.37,150.3
0,0,62.2,96.15,2.38,0,94.18,170.29,23.61,31.87,413.24,149.49
0,0,62.38,97.32,2.38,0,94.19,169.66,22.82,32.38,413.4,148.75
0,0,62.04,97.09,2.38,0,93.84,168.84,26.55,32.12,411.04,147.95
0,0,0,95.05,0,0,0,0,0,0,0,0
0,0,62,96.7,2.39,0,93.96,170.57,28.76,31.89,412.22,147.86
0,0,62.08,95.33,2.4,0,93.96,169.74,28.11,31.96,409.04,148.79
0,0,62.1,95.42,2.37,0,94.06,164.96,25.08,32.16,412.3,145.85
0,0,61.86,95.92,2.34,0,93.21,169.04,25.85,32.37,409.33,148.8
0,0,62.39,95.6,2.38,338.14,94.12,170.45,24.94,32.67,413.25,149
0,0,62.4,95.88,2.39,337.53,94.05,169,26,31.53,416.27,149.54
0,0,62.34,95.31,2.39,332.52,94.1,170.26,27.24,32.55,414.91,146.7
0,0,62.09,95.63,2.33,340.45,93.83,168.13,26.27,32.19,412.81,147
0,0,62.19,95.7,2.36,337.81,93.75,169.85,26.98,32.25,413.25,149
0,0,61.78,95.32,2.43,340.66,94.7,167.63,27.15,30.59,415.66,148.25
0,0,62.31,95.83,2.38,342.37,94.37,168.1,26.53,30.9,418.26,146.72
0,0,61.97,95.49,2.38,337.9,94.62,169.78,27.25,31.7,419.4,139.63
0,0,62.37,95.81,2.38,339.81,94.84,167.4,26.26,32.31,418.29,138.62
0,0,62.14,95.43,2.45,344.58,93.85,168.22,26.8,30.91,414.3,138.21
0,0,62.18,95.13,2.45,345.17,94.25,169.79,26.36,31.15,398.76,137.3
0,0,61.92,95.18,2.34,348.71,94.18,168.36,27.08,32.31,407.4,139.41
0,0,61.32,96.23,2.38,343.71,93.71,166.79,27.78,31.63,419.32,138.8
0,0,62.23,95.48,2.39,349.22,93.84,167.82,27.69,32.76,414.26,156.5
0,0,62.42,95.79,2.38,346.51,94.12,170.12,27.13,31.87,401.74,150.8
0,0,62.01,95.46,2.38,345.1,94.23,170.12,27.28,31.84,401.76,148.69
0,0,62.27,94.77,2.39,346.51,94,169.98,28.21,31.21,401.67,149.78
0,0,62.17,95.73,2.39,339.5,94.53,169.77,28.65,31.2,404.89,148.32
0,0,62.44,95.63,2.38,343.63,94.42,168.9,26.88,31.54,405.88,149.86
0,0,62.49,95.66,2.39,344.14,94.49,169.91,27.6,31.12,403.95,149.25
0,0,46.61,95.34,1.75,277.46,87.46,158.33,20.43,31.2,320.59,149.76
0,0,45.29,95.24,1.48,267.78,51.56,115.03,13.62,27.63,309.31,149.35
0,0,62.31,95.15,2.38,333.7,93.8,165.92,26.18,29.71,404.2,147.2
0,0,61.92,95.77,2.33,339.21,93.7,166.81,26.36,30.28,408.31,147.79
0,0,62.34,95.73,2.4,338.96,94.06,167.65,26.81,30.93,413.16,148.65
0,0,62.73,95.99,2.4,339.63,94.12,167.39,27.95,30.84,409.74,149.75
0,0,61.93,95.06,2.39,338.42,94.19,168.29,28.13,30.12,412.92,149.35
0,0,62.08,95.1,2.4,337.21,94.08,168.94,28.48,31.25,411.24,150.32
0,0,62.17,92.31,2.38,339.44,94.22,168.46,28.66,31.88,409.63,149.29
0,0,62.15,95.58,2.36,343.64,93.73,167,28.49,33.27,414.35,148.83
0,0,62.08,95.4,2.34,345.49,93.9,166.4,0,33.72,413.13,149.3
0,0,61.13,94.34,2.33,336.65,92.54,166.47,26.51,31.45,404.6,147.13
0,0,0,98.24,0,0,0,0,0,0,0,0
0,0,62.21,95.81,2.38,338.5,94.13,169.06,26.44,31.81,414.92,148.03
0,0,62.1,94.7,2.4,342.74,94.4,168.47,26.78,31.41,413.15,141.16
0,0,62.12,94.5,2.38,344.88,94.12,169.07,27.66,31.72,407.07,148.96
0,0,57.67,86.13,2.16,320.13,87.03,158.72,24.14,30.24,381.32,148.82
0,0,61.47,94.33,2.28,353.58,93.8,165.69,27.77,34.95,415.27,148.16
