LOWER COND TEMP AT INELT',LOWER COND TEMP AT OUTLET,UPPER COND TEMPE AT INELT,UPPER COND TEMPE AT OUTLET,BENZOL WASHER INLET GAS TEMP,BENZOL WASHER  OUTLET GAS TEMP,BENZOL WASHER  INLET OIL TEMP,BENZOL WASHER RESISTANCE,RICH OIL FLOW(M3/hr),RICH OIL INLET TEMP TO PIPEHEATER,RICH OIL PRESSURE AT PIPEHEATER INLET,RICH OIL OUTLET TEMP FROM  PIPEHEATER,RICH OIL PRESSURE AT PIPEHEATER OUTLET,PIPEHEATER MIDDLE TEMP,STEAM INLET TEMP TO PIPEHEATER,STEAM OUTLET TEMP FROM PIPEHEATER,COG FLOW TO PIPEHEATER,COG PRESSURE TO PIPEHEATER,STEAM FLOW TO REGENERATOR (T/hr),STEAM TEMP TO REGENERTOR ,DISTILLATION COLUMN TOP TEMP,DISTILLATION COLUMN BOTTOM TEMP,PRODUCTION (TON),PRODUCT TEMP,CRUDE BENZENE AT <75 C, BENZOL (BTX),Benzene ,Production ,Dispatch,yield  (Dry basis),QI,Moisture,Density ,Dry basis,wet basis ,Actual ,Dry basis,Consumer(from FMD),Flare(Flow meter),Tot Gas to Battry,SAP production,0,SAP production
0,0,0,0,0,30,32.04,1.9,32.93,98.41,0.23,136.79,0.15,0,-33.58,0,1.54,0.16,139.13,19.62,221.39,0,0,0,0,0,32.04,90,275,2.9204565,2.24,1.4,1.18,3081.71,3367.14,1001856,325.0974297,9600,0,220713,75,2.43371375,26
0,0,0,0,0,30.8,30.41,2.19,58.71,126.7,0.3,159.65,0.17,0,-48.85,0,2.26,0.29,182.57,39.2,320.17,0,0,0,0,0,30.41,0,375,0,2.11,2.6,1.18,3021.05,3290.59,1011312,334.7551348,9600,0,218609,73,2.416378411,26
0,0,0,0,0,30.62,30.24,2.11,61.99,133.63,0.32,168.66,0.18,0,-44.49,0,2.36,0.3,173.89,37.26,330.4,0,0,0,0,0,30.24,90,60,3.004228953,2.13,2.6,1.18,2995.777,3270.37,1018488,339.9745709,9600,0,220057,73,2.436763484,26
0,0,0,0,0,31.2,29.6,2.04,57.48,132.8,0.32,166.95,0.17,0,-44.51,0,2.35,0.3,185.22,39.18,337.55,0,0,0,0,0,29.6,90,0,2.923157023,0,0,0,3078.863,3364.11,993792,322.778896,9600,0,219378,73,2.371005141,27
0,0,0,0,0,31.29,30.71,2.15,61.81,132.65,0.32,166.94,0.18,0,-44.16,0,2.35,0.31,180.18,39.85,336.63,0,0,0,0,0,30.71,90,90,3.010612409,1.66,1.2,1.18,2989.425,3283.43,1014456,339.3482024,9600,200,230035,73,2.441941176,26
0,0,0,0,0,30.7,30.42,2.32,61.32,133.49,0.31,164.81,0.19,0,-48.29,0,2.38,0.32,181.92,39.42,335.92,0,0,0,0,0,30.42,90,90,3.055706549,1.93,1.4,1.18,2945.309,3220.95,1023552,347.5193944,9600,200,221199,73,2.478517534,0
0,0,0,0,0,30.79,30.64,2.31,61.64,131.46,0.32,165.93,0.18,0,-43.64,0,2.36,0.32,182.01,40.31,339.14,0,0,0,0,0,30.64,90,0,3.055365255,1.77,1.2,1.18,2945.638,3202.49,1007352,341.9809223,9400,200,213868,73,2.478240707,0
0,0,0,0,0,30.62,30.42,2.42,61.5,131.77,0.32,164.97,0.18,0,-43.81,0,2.35,0.32,181.47,40.18,338.47,0,0,0,0,0,30.42,90,30,3.055365255,1.84,1.4,1.18,2945.638,3211.91,993072,337.1330761,9500,0,257216,72,2.444292204,0
0,0,0,0,0,30,30.85,2.34,61.8,128.64,0.32,163.56,0.18,0,-47.27,0,2.34,0.3,182.96,39.97,343.51,0,0,0,0,0,30.85,90,60,3.060836159,2.21,1.3,1.18,2940.373,3202.74,1008168,342.8707854,9600,0,214710,72,2.448668927,0
0,0,0,0,0,30.2,30.9,1.95,61.5,126.5,0.31,160.44,0.18,0,-45.31,0,2.34,0.3,181.04,38.98,332.1,0,0,0,0,0,30.9,0,90,0,2.39,1.2,1.18,2935.437,3173.66,1023528,348.679941,9567,0,219745,73,2.486852894,12
